,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dL[654],12.545,0.335,12.335,12.847,0.026,0.018,498.0,243.0,1.01
dL[655],10.024,0.248,9.902,10.223,0.02,0.014,597.0,230.0,1.01
dL[656],11.48,0.297,11.314,11.735,0.023,0.016,547.0,234.0,1.01
dL[657],0.672,0.005,0.669,0.675,0.0,0.0,851.0,608.0,1.0
dL[658],8.211,0.189,8.126,8.345,0.015,0.011,575.0,230.0,1.01
dL[659],10.074,0.249,9.95,10.274,0.02,0.014,596.0,230.0,1.01
dL[660],1.613,0.017,1.604,1.624,0.001,0.001,902.0,427.0,1.0
dL[661],11.871,0.311,11.691,12.146,0.024,0.017,529.0,234.0,1.01
dL[662],3.421,0.055,3.4,3.455,0.004,0.003,558.0,347.0,1.01
dL[663],1.086,0.009,1.081,1.092,0.0,0.0,779.0,739.0,1.0
dL[664],9.174,0.22,9.067,9.336,0.018,0.013,603.0,223.0,1.01
dL[665],1.629,0.017,1.62,1.641,0.001,0.001,905.0,425.0,1.0
dL[666],3.545,0.058,3.523,3.581,0.004,0.003,523.0,346.0,1.01
dL[667],6.268,0.131,6.208,6.348,0.011,0.008,397.0,246.0,1.01
dL[668],9.256,0.222,9.148,9.421,0.018,0.013,603.0,223.0,1.01
dL[669],3.476,0.056,3.455,3.511,0.004,0.003,541.0,347.0,1.01
dL[670],9.837,0.241,9.716,10.026,0.019,0.014,600.0,226.0,1.01
dL[671],1.54,0.016,1.531,1.55,0.001,0.001,887.0,425.0,1.0
dL[672],3.261,0.051,3.241,3.292,0.004,0.003,617.0,352.0,1.01
dL[673],12.977,0.351,12.752,13.305,0.026,0.019,478.0,246.0,1.01
dL[674],1.926,0.023,1.916,1.942,0.001,0.001,978.0,371.0,1.0
dL[675],13.478,0.37,13.229,13.83,0.028,0.02,456.0,243.0,1.01
dL[676],14.951,0.426,14.628,15.369,0.032,0.022,403.0,260.0,1.01
dL[677],6.744,0.145,6.679,6.836,0.012,0.009,434.0,235.0,1.01
dL[678],11.533,0.299,11.367,11.792,0.023,0.016,545.0,234.0,1.01
dL[679],3.465,0.056,3.444,3.499,0.004,0.003,545.0,347.0,1.01
dL[680],12.613,0.338,12.399,12.917,0.026,0.018,495.0,243.0,1.01
dL[681],3.242,0.051,3.222,3.273,0.004,0.003,625.0,353.0,1.01
dL[682],11.123,0.285,10.97,11.362,0.022,0.016,564.0,233.0,1.01
dL[683],2.01,0.024,1.999,2.026,0.001,0.001,994.0,364.0,1.0
dL[684],7.775,0.176,7.695,7.893,0.014,0.01,538.0,235.0,1.01
dL[685],1.067,0.009,1.062,1.073,0.0,0.0,780.0,791.0,1.0
dL[686],12.381,0.329,12.174,12.671,0.025,0.018,506.0,243.0,1.01
dL[687],1.782,0.02,1.772,1.796,0.001,0.001,939.0,369.0,1.0
dL[688],1.643,0.018,1.634,1.655,0.001,0.001,908.0,428.0,1.0
dL[689],7.229,0.159,7.155,7.332,0.013,0.009,477.0,227.0,1.01
dL[690],5.918,0.121,5.863,5.991,0.01,0.007,379.0,257.0,1.01
